"square_meters","bathrooms_number","lift","rooms_number","car_parking","condominium_fees","conditions","floor","heating_centralized","selling_price","fireplace","hydromassage","video_entryphone","terrace","security_door","tavern","optic_fiber","electric_gate","pool","tennis_court","alarm_system","attic","balcony","cellar","closet","reception","concierge","furnished","garden","exposure","window_glass","window_material","zona_new","year","total_floors","house_efficiency"
113,"2","yes","3","garage/box",0,"new / under construction","4","central",450000,"no","no","yes","yes","yes","no","yes","yes","no","no","yes","no","yes","no","no","no",0,0,"shared","single","other","other","quartiere adriano","Recent/New",7,"High"
128,"2","yes","4","none",250,"excellent / refurbished","1","central",580000,"no","no","yes","no","yes","no","yes","yes","no","no","no","no","yes","yes","no","no",1,0,"shared","double","other","other","san siro","Old",7,"Low"
83,"1","yes","2","none",150,"new / under construction","3","central",550000,"no","no","no","no","yes","no","no","no","no","no","no","no","yes","yes","no","no",1,1,"shared","single","other","other","isola","Old",6,"Med"
75,"1","yes","2","none",250,"good condition / liveable","8","central",412000,"no","no","yes","no","yes","no","no","no","no","no","no","yes","yes","no","no","no",0,1,"no garden","double","other","other","città studi","Old",8,"Low"
75,"1","yes","2","none",150,"excellent / refurbished","9","central",249000,"no","no","no","yes","no","no","no","no","no","no","yes","no","yes","yes","no","no",0,0,"shared","other","other","other","quartiere adriano","Recent/New",9,"High"
59,"1","yes","2","none",150,"new / under construction","9","independent",310000,"no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no",1,0,"shared","double","other","other","famagosta","Modern",9,"Med"
110,"2","yes","3","garage/box",250,"good condition / liveable","5","central",350000,"no","no","yes","yes","yes","no","yes","yes","no","no","no","no","yes","yes","no","no",0,0,"shared","other","other","other","santa giulia","Modern",8,"High"
50,"1","yes","2","none",100,"good condition / liveable","3","independent",1e+05,"no","no","yes","no","yes","no","yes","yes","no","no","no","no","yes","yes","no","no",1,0,"no garden","double","other","other","isola","Old",12,"Low"
70,"1","no","2","none",100,"excellent / refurbished","2","independent",315000,"no","no","yes","no","yes","no","yes","yes","no","no","no","no","yes","yes","yes","no",0,0.5,"shared","single","other","wood","casoretto","Very Old",5,"Med"
100,"1","yes","3","none",350,"good condition / liveable","4","central",530000,"no","no","yes","no","yes","no","yes","no","no","no","yes","no","no","yes","yes","no",1,1,"shared","double","other","wood","sempione","Very Old",5,"Low"
52,"1","no","1","none",63,"excellent / refurbished","ground floor","independent",135000,"no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no",0,0,"no garden","single","other","other","quartiere adriano","Very Old",3,"Low"
116,"2","yes","3","garage/box",333,"good condition / liveable","4","central",420000,"no","no","yes","yes","yes","no","yes","yes","no","no","no","no","yes","yes","no","no",0,0,"no garden","double","other","wood","affori","Modern",4,"Low"
100,"1","yes","3","none",0,"new / under construction","2","central",560000,"no","no","no","no","yes","no","no","no","no","no","no","no","yes","yes","no","no",0,0,"no garden","other","other","other","piazza napoli","Modern",6,"Low"
57,"1","yes","2","none",195,"new / under construction","2","central",339000,"no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no",1,0,"shared","single","other","other","argonne - corsica","Modern",6,"Med"
118,"2","yes","4","none",350,"new / under construction","2","central",280000,"no","no","no","yes","no","no","no","no","no","no","no","no","yes","yes","no","no",0,1,"shared","other","other","other","ponte lambro","Old",4,"Med"
275,"3","yes","5","none",300,"to be refurbished","2","independent",2490000,"no","no","no","no","yes","no","yes","yes","no","no","yes","yes","yes","yes","yes","no",0,0,"no garden","single","other","wood","vercelli - wagner","Very Old",4,"Low"
70,"1","yes","2","shared",200,"excellent / refurbished","8","independent",430000,"no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no","yes",0,1,"no garden","other","other","wood","tripoli - soderini","Modern",8,"Low"
89,"2","yes","3","garage/box",150,"excellent / refurbished","3","independent",870000,"no","no","yes","yes","yes","no","yes","yes","no","no","yes","no","yes","yes","no","no",0,1,"no garden","double","other","other","lodi - brenta","Modern",5,"Med"
250,"3+","no","5+","garage/box",170,"good condition / liveable","ground floor","independent",850000,"no","no","yes","yes","yes","no","yes","yes","no","no","no","no","yes","no","yes","no",0,1,"shared","double","other","other","quarto cagnino","Modern",2,"Low"
49,"1","no","2","none",125,"excellent / refurbished","mezzanine","central",345000,"no","no","yes","no","yes","no","no","yes","no","no","no","no","no","no","yes","no",1,1,"no garden","single","other","other","buenos aires","Very Old",6,"Low"
79,"1","yes","2","none",167,"good condition / liveable","2","central",330000,"no","no","no","no","yes","no","yes","yes","no","no","no","no","yes","yes","yes","no",1,0,"no garden","double","other","wood","città studi","Old",6,"Low"
65,"1","yes","2","none",250,"excellent / refurbished","6","central",265000,"no","no","yes","no","yes","no","yes","yes","no","no","yes","no","yes","yes","no","no",0.5,1,"shared","double","other","other","corvetto","Old",7,"Low"
105,"1","yes","3","none",120,"to be refurbished","1","independent",475000,"no","no","no","no","no","no","yes","no","no","no","no","no","yes","yes","no","no",0,0,"shared","double","other","other","pasteur","Very Old",5,"Low"
160,"2","yes","4","garage/box",250,"excellent / refurbished","2","central",1145000,"no","no","yes","yes","yes","no","yes","no","no","no","no","no","no","no","no","no",1,0.5,"shared","double","other","wood","ascanio sforza","Old",3,"Med"
210,"2","yes","4","garage/box and shared",375,"excellent / refurbished","ground floor","independent",1250000,"yes","yes","yes","no","yes","yes","yes","yes","no","no","yes","no","no","yes","yes","no",1,1,"no garden","single","other","other","navigli - darsena","Very Old",5,"Med"
170,"3","no","4","garage/box",208,"excellent / refurbished","ground floor","independent",450000,"no","no","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no",0,0,"no garden","single","other","other","viale ungheria - mecenate","Very Old",2,"Low"
74,"1","yes","2","none",208,"good condition / liveable","2","central",238000,"no","no","no","no","yes","no","yes","no","no","no","no","no","yes","yes","no","no",1,0,"no garden","double","other","other","certosa","Old",8,"Low"
100,"2","yes","3","garage/box",210,"good condition / liveable","4","central",480000,"no","no","yes","yes","yes","no","yes","yes","no","no","no","no","yes","yes","yes","no",1,0,"shared","double","other","wood","san siro","Modern",8,"Low"
175,"3","yes","5","garage/box",708,"good condition / liveable","3","central",890000,"no","no","no","yes","yes","no","yes","yes","no","no","no","no","yes","yes","yes","no",1,0,"shared","double","other","wood","san siro","Modern",5,"Low"
70,"1","yes","3","none",200,"to be refurbished","mezzanine","central",390000,"no","no","no","no","yes","no","yes","no","no","no","no","no","no","yes","no","no",0,0,"no garden","double","other","other","washington","Old",6,"Low"
127,"2","yes","4","none",300,"excellent / refurbished","1","central",798000,"no","no","no","no","yes","no","yes","no","no","no","no","no","yes","yes","yes","no",1,0.5,"no garden","double","other","other","plebisciti - susa","Very Old",5,"Low"
55,"1","yes","2","none",50,"excellent / refurbished","ground floor","independent",169000,"no","no","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no",0,0,"no garden","single","other","other","ponte nuovo","Modern",6,"Med"
130,"2","yes","3","garage/box",300,"good condition / liveable","3","central",1100000,"no","no","yes","no","yes","no","yes","yes","no","no","yes","no","yes","yes","yes","no",0.5,1,"shared","double","other","other","ticinese","Very Old",4,"Low"
100,"1","yes","3","none",300,"excellent / refurbished","mezzanine","central",750000,"no","no","yes","no","yes","no","yes","no","no","no","no","no","yes","yes","yes","no",1,0.5,"no garden","double","other","other","città studi","Very Old",6,"Med"
77,"2","no","3","shared",180,"excellent / refurbished","2","central",279000,"no","no","no","no","yes","no","yes","no","no","no","no","no","no","yes","no","no",0,0,"no garden","double","other","other","bicocca","Very Old",2,"Low"
47,"1","no","2","none",83,"good condition / liveable","2","independent",165000,"no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no",0,0.5,"no garden","single","other","other","greco - segnano","Very Old",3,"Low"
160,"2","yes","4","none",500,"good condition / liveable","6","central",855000,"no","no","yes","no","yes","no","yes","yes","no","no","no","no","yes","yes","no","no",1,0,"shared","double","other","other","famagosta","Modern",7,"Low"
105,"1","yes","3","none",250,"to be refurbished","mezzanine","central",345000,"no","no","no","no","yes","no","yes","no","no","no","no","no","no","yes","no","no",1,0,"shared","single","other","wood","san siro","Modern",4,"Low"
105,"1","no","3","none",250,"good condition / liveable","2","central",640000,"no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no",1,0,"no garden","single","other","wood","washington","Very Old",4,"Low"
90,"2","yes","3","garage/box",200,"excellent / refurbished","7","independent",650000,"no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no",0,1,"shared","other","other","wood","farini","Recent/New",7,"Low"
183,"3","yes","4","none",90,"new / under construction","1","central",629000,"no","no","yes","yes","yes","no","yes","no","no","no","yes","no","yes","no","no","no",0,0,"shared","double","other","wood","bignami - ponale","Recent/New",13,"High"
90,"2","yes","4","none",150,"new / under construction","2","central",396000,"no","no","yes","no","yes","no","yes","no","no","no","no","no","no","yes","no","no",0,0,"no garden","other","other","other","certosa","Recent/New",2,"High"
109,"1","yes","3","none",250,"good condition / liveable","2","central",380000,"no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no",0,0.5,"no garden","single","other","other","certosa","Old",4,"Low"
130,"2","yes","3","shared",375,"excellent / refurbished","1","central",1420000,"no","no","yes","no","yes","no","no","yes","no","no","no","no","no","yes","no","no",1,0,"shared","single","other","wood","turati","Modern",6,"Low"
45,"1","no","2","none",100,"good condition / liveable","4","central",220000,"no","no","no","no","yes","no","yes","no","no","no","no","yes","yes","no","no","no",0,0,"no garden","single","other","other","gambara","Old",4,"Low"
105,"1","yes","3","none",316,"to be refurbished","6","central",450000,"no","no","yes","no","yes","no","no","no","no","no","no","no","yes","yes","no","no",1,0,"no garden","double","other","other","gambara","Old",9,"Med"
87,"1","yes","2","none",200,"to be refurbished","1","central",499000,"no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no",0,0,"no garden","other","other","other","porta romana - medaglie d'oro","Modern",8,"Low"
70,"1","no","3","none",167,"excellent / refurbished","4","central",189000,"no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no",1,0,"shared","single","other","other","ponte nuovo","Old",5,"Low"
103,"2","yes","3","shared",200,"to be refurbished","2","central",355000,"no","no","no","no","no","no","yes","no","no","no","no","no","yes","yes","no","no",1,0,"shared","double","other","other","turro","Old",6,"Low"
72,"1","yes","2","none",166,"excellent / refurbished","mezzanine","central",665000,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no",1,1,"no garden","single","other","other","duomo","Very Old",3,"Low"
47,"1","no","2","none",125,"excellent / refurbished","1","independent",380000,"no","no","no","no","yes","no","yes","no","no","no","no","no","no","yes","yes","no",0.5,0.5,"no garden","single","other","other","arco della pace","Very Old",4,"Low"
93,"2","yes","3","none",0,"new / under construction","2","independent",395000,"no","no","yes","yes","yes","no","yes","yes","no","no","no","no","no","yes","no","no",0,0,"shared","double","other","other","ponte nuovo","Recent/New",3,"High"
98,"2","no","3","none",250,"new / under construction","mezzanine","central",335000,"no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no","no",0,0,"no garden","other","other","other","bovisa","Old",1,"High"
58,"1","no","2","none",60,"excellent / refurbished","1","central",330000,"no","no","no","no","yes","no","yes","no","no","no","no","no","yes","no","no","no",0,1,"shared","single","other","other","città studi","Old",3,"Low"
170,"3","no","5","garage/box",140,"good condition / liveable","ground floor","independent",645000,"no","no","yes","yes","yes","yes","yes","yes","no","no","yes","no","yes","yes","yes","no",1,0.5,"private","single","other","other","giambellino","Modern",2,"Low"
60,"1","yes","2","shared",120,"new / under construction","4","independent",189000,"no","no","yes","no","yes","no","no","yes","no","no","yes","no","no","no","no","no",0,0,"no garden","single","other","other","quintosole - chiaravalle","Recent/New",4,"High"
60,"1","yes","2","none",150,"to be refurbished","5","central",221000,"no","no","yes","no","yes","no","yes","yes","no","no","no","no","yes","yes","no","no",0.5,0,"no garden","single","other","other","san siro","Old",5,"Low"
101,"1","yes","1","none",30,"excellent / refurbished","5","central",190000,"no","no","no","no","yes","no","yes","no","no","no","no","no","no","no","yes","no",0,1,"no garden","single","other","wood","città studi","Very Old",5,"Low"
40,"1","yes","2","none",100,"excellent / refurbished","ground floor","central",339000,"no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no",1,0,"no garden","other","other","other","san siro","Old",5,"Med"
60,"1","yes","2","none",158,"excellent / refurbished","mezzanine","central",297000,"no","no","yes","no","yes","no","yes","no","no","no","yes","no","yes","yes","no","no",0,1,"private","single","other","other","udine","Old",6,"Low"
151,"2","yes","3","none",400,"excellent / refurbished","mezzanine","central",699000,"no","no","yes","yes","yes","no","yes","no","no","no","no","no","yes","yes","yes","no",1,0.5,"no garden","double","other","other","città studi","Very Old",6,"Low"
139,"2","yes","4","none",400,"excellent / refurbished","mezzanine","central",625000,"no","no","yes","no","yes","no","yes","no","no","no","yes","no","yes","yes","no","no",0,0,"no garden","double","other","other","piazzale siena","Modern",7,"Med"
40,"1","no","2","none",83,"good condition / liveable","3","independent",119000,"no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no",0,1,"no garden","other","other","other","san carlo","Old",3,"Low"
153,"2","yes","4","garage/box",0,"good condition / liveable","3","central",480000,"no","no","yes","no","no","no","no","no","no","no","no","no","yes","yes","no","no",0,0,"shared","other","other","other","cascina merlata - musocco","Modern",9,"Low"
151,"1","yes","4","none",330,"to be refurbished","4","central",520000,"no","no","no","no","yes","no","yes","yes","no","no","no","no","no","yes","no","no",0,0,"shared","double","other","wood","greco - segnano","Old",4,"Low"
130,"2","yes","5","garage/box",300,"other","2","central",390000,"no","no","no","no","yes","no","yes","yes","no","no","no","no","yes","yes","no","no",1,0,"shared","double","other","wood","giambellino","Modern",8,"Low"
150,"2","yes","1","none",200,"excellent / refurbished","ground floor","independent",6e+05,"no","no","no","no","yes","no","yes","yes","no","no","yes","no","no","no","no","no",1,0,"no garden","double","other","other","plebisciti - susa","Very Old",2,"Med"
55,"1","yes","2","none",200,"excellent / refurbished","mezzanine","central",350000,"no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no",1,1,"no garden","other","other","other","navigli - darsena","Modern",4,"Low"
62,"1","no","2","none",80,"excellent / refurbished","4","independent",8e+05,"no","no","yes","yes","yes","no","yes","yes","no","no","no","no","yes","yes","yes","no",0,1,"no garden","single","other","other","duomo","Very Old",4,"Low"
126,"2","yes","4","garage/box",210,"good condition / liveable","4","central",410000,"no","no","no","yes","yes","no","yes","yes","no","no","no","no","yes","yes","no","no",0,0,"shared","single","other","other","cantalupa - san paolo","Modern",4,"Low"
289,"3+","yes","5+","garage/box and shared",1400,"excellent / refurbished","1","central",2500000,"no","no","yes","yes","yes","no","yes","no","no","no","yes","no","yes","yes","yes","no",1,0.5,"shared","single","other","other","portello - parco vittoria","Recent/New",11,"High"
40,"1","no","2","none",167,"excellent / refurbished","1","central",315000,"no","yes","yes","no","yes","no","no","no","no","no","no","no","yes","no","no","no",0,1,"no garden","double","other","wood","paolo sarpi","Very Old",3,"Low"
84,"1","yes","2","none",525,"new / under construction","ground floor","central",840000,"no","no","yes","no","yes","no","yes","yes","yes","no","yes","no","no","no","no","no",1,0,"no garden","single","other","other","moscova","Recent/New",6,"High"
82,"1","yes","3","none",200,"good condition / liveable","2","central",320000,"no","no","no","no","yes","no","yes","no","no","no","no","no","yes","yes","no","no",0.5,0,"no garden","double","other","other","casoretto","Old",8,"Low"
90,"2","yes","3","none",150,"excellent / refurbished","5","independent",469000,"no","no","yes","no","yes","no","yes","yes","no","no","yes","no","yes","no","yes","no",0,0.5,"shared","double","other","other","cascina dei pomi","Old",5,"Low"
63,"2","yes","3","none",100,"excellent / refurbished","1","independent",347000,"no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no",0,1,"no garden","double","other","other","parco trotter","Very Old",4,"Low"
93,"3+","no","5+","garage/box and shared",50,"good condition / liveable","ground floor","independent",1250000,"no","no","yes","no","yes","no","yes","yes","no","no","no","yes","yes","no","no","no",0,0,"private","double","other","other","muggiano","Recent/New",1,"Low"
88,"2","yes","3","none",0,"new / under construction","6","central",374000,"no","no","yes","yes","yes","no","yes","yes","no","no","no","no","no","no","no","no",0,0,"no garden","double","other","other","quartiere adriano","Recent/New",7,"High"
130,"2","yes","3","none",335,"excellent / refurbished","5","central",1180000,"no","no","no","no","yes","no","no","no","no","no","no","no","yes","yes","no","no",1,0,"no garden","double","other","wood","washington","Modern",8,"Low"
65,"1","yes","2","none",200,"good condition / liveable","6","central",640000,"no","no","yes","no","yes","no","yes","no","no","no","no","no","no","no","yes","no",0.5,1,"no garden","single","other","wood","corso genova","Old",7,"Low"
64,"1","yes","3","none",215,"good condition / liveable","1","central",289000,"no","no","yes","no","yes","no","no","no","no","no","no","no","yes","no","no","no",1,1,"no garden","single","other","other","cimiano","Old",6,"Low"
100,"2","yes","3","none",210,"excellent / refurbished","6","central",499000,"no","no","yes","yes","yes","no","yes","no","no","no","yes","no","yes","no","yes","no",0,0,"no garden","double","other","other","casoretto","Very Old",6,"Low"
171,"3","yes","4","none",1335,"excellent / refurbished","5","independent",2250000,"no","no","yes","yes","yes","no","yes","yes","no","no","yes","no","yes","yes","yes","no",1,0.5,"no garden","double","triple","other","melchiorre gioia","Recent/New",15,"High"
46,"1","yes","2","none",108,"good condition / liveable","mezzanine","central",330000,"no","no","yes","no","yes","no","yes","no","no","no","no","no","no","no","no","no",1,1,"no garden","single","other","other","pagano","Very Old",4,"Low"
106,"1","yes","3","none",450,"to be refurbished","3","central",740000,"no","no","no","no","yes","no","yes","no","no","no","no","no","yes","no","no","no",1,0,"shared","single","other","other","sempione","Very Old",7,"Med"
76,"1","yes","3","none",100,"excellent / refurbished","1","independent",570000,"no","no","yes","no","yes","no","yes","no","no","no","no","no","yes","no","yes","no",0,1,"no garden","double","other","wood","montenero","Very Old",5,"Low"
85,"1","yes","3","none",250,"excellent / refurbished","6","central",489000,"no","no","no","no","yes","no","yes","no","no","no","no","no","yes","no","no","no",0,1,"no garden","double","other","other","pezzotti - meda","Old",8,"Low"
124,"2","yes","4","none",85,"new / under construction","4","independent",619000,"no","no","yes","yes","yes","no","yes","yes","no","no","no","no","no","yes","no","no",0,0,"no garden","double","triple","other","san carlo","Recent/New",5,"High"
120,"2","yes","3","garage/box",250,"excellent / refurbished","1","independent",780000,"no","yes","yes","no","yes","no","yes","yes","no","no","no","no","no","no","no","no",0,0.5,"shared","single","other","other","barona","Recent/New",2,"Low"
122,"2","yes","3","none",250,"new / under construction","2","central",1160000,"no","no","yes","yes","yes","no","yes","yes","no","no","yes","no","no","no","no","no",1,0,"shared","single","other","other","monte rosa - lotto","Recent/New",6,"High"
71,"1","no","2","none",108,"good condition / liveable","2","independent",180000,"no","no","no","no","yes","no","yes","no","no","no","no","no","yes","yes","no","no",0,0,"no garden","double","other","other","certosa","Old",4,"Low"
81,"1","yes","2","none",300,"excellent / refurbished","ground floor","central",275000,"no","no","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no",0,0.5,"shared","single","other","other","maggiolina","Modern",4,"Med"
110,"1","yes","4","garage/box",208,"good condition / liveable","3","central",285000,"no","no","yes","no","yes","no","yes","yes","no","no","no","no","yes","yes","no","no",0,0,"shared","double","other","wood","bisceglie","Modern",4,"Low"
126,"2","yes","4","none",0,"new / under construction","1","central",514000,"no","no","yes","yes","yes","no","yes","no","no","no","no","no","no","yes","no","no",0,0,"shared","double","other","other","villa san giovanni","Recent/New",8,"High"
100,"1","yes","3","garage/box",250,"excellent / refurbished","2","central",315000,"no","no","yes","no","yes","no","yes","yes","no","no","no","no","yes","yes","yes","no",1,1,"shared","single","other","other","gallaratese","Modern",8,"Med"
50,"1","no","2","none",100,"good condition / liveable","ground floor","independent",199000,"no","no","no","no","yes","no","yes","yes","no","no","no","no","no","no","yes","no",0,1,"shared","double","other","other","vigentino - fatima","Old",2,"Low"
170,"2","yes","5","none",0,"good condition / liveable","ground floor","independent",4e+05,"no","no","no","no","no","no","yes","yes","no","no","no","no","yes","no","no","no",0,0,"no garden","double","other","wood","ponte lambro","Very Old",2,"Low"
126,"2","yes","4","none",590,"good condition / liveable","1","independent",1250000,"no","no","no","yes","yes","no","yes","yes","no","no","no","no","yes","yes","yes","no",1,0.5,"shared","double","other","wood","vincenzo monti","Old",6,"Med"
108,"2","yes","3","garage/box and shared",150,"new / under construction","7","central",593000,"no","no","yes","yes","yes","no","yes","yes","no","no","yes","no","yes","yes","yes","no",0.5,0,"shared","single","other","other","certosa","Recent/New",7,"High"
86,"1","yes","3","none",234,"good condition / liveable","2","central",249000,"no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no",0,0,"shared","double","other","other","corvetto","Old",7,"Low"
85,"1","no","3","none",250,"to be refurbished","1","central",279000,"no","no","no","no","yes","no","yes","yes","no","no","no","no","yes","yes","yes","no",1,0,"shared","double","other","other","dergano","Modern",3,"Low"
84,"1","yes","3","none",250,"new / under construction","3","central",353000,"no","no","yes","yes","yes","no","yes","no","no","no","no","no","no","yes","no","no",0,0,"shared","single","other","other","villa san giovanni","Recent/New",8,"High"
85,"2","yes","3","none",0,"new / under construction","1","central",473000,"no","no","no","no","yes","no","no","no","no","no","no","no","yes","yes","no","no",0,0,"no garden","other","other","other","gambara","Modern",7,"Low"
45,"1","no","2","none",50,"good condition / liveable","ground floor","independent",178000,"no","no","no","no","no","no","yes","no","no","no","no","no","no","yes","no","no",0,0,"shared","double","other","wood","ortica","Old",2,"Low"
87,"1","no","3","none",233,"excellent / refurbished","1","central",279000,"no","no","no","no","yes","no","yes","yes","no","no","no","no","yes","yes","no","no",1,0,"shared","double","other","other","san carlo","Old",4,"High"
97,"2","yes","3","none",50,"new / under construction","1","independent",422000,"no","no","yes","no","yes","no","yes","yes","no","no","no","no","yes","no","no","no",0,0,"private","single","other","other","bovisa","Recent/New",2,"Low"
130,"2","yes","3","none",416,"excellent / refurbished","2","central",1500000,"yes","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no",1,0.5,"no garden","single","other","wood","missori","Very Old",3,"Low"
80,"1","yes","3","none",150,"excellent / refurbished","4","central",429000,"no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no",0,0.5,"no garden","other","other","wood","pasteur","Old",6,"Med"
113,"2","yes","4","none",180,"new / under construction","1","independent",1035000,"no","no","yes","yes","yes","no","yes","yes","no","no","yes","no","no","no","no","no",0,0,"no garden","double","other","other","maggiolina","Recent/New",4,"High"
90,"1","yes","2","none",250,"excellent / refurbished","1","central",270000,"no","no","yes","no","yes","no","yes","yes","no","no","no","no","yes","no","no","no",1,0.5,"no garden","single","other","other","bovisa","Modern",5,"Med"
50,"1","yes","2","garage/box",100,"excellent / refurbished","1","independent",239000,"no","no","yes","yes","yes","no","yes","yes","yes","no","no","no","no","no","no","no",1,1,"shared","single","other","other","ponte nuovo","Recent/New",2,"Med"
44,"1","yes","2","none",83,"good condition / liveable","2","independent",350000,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no",1,0,"no garden","other","other","other","arco della pace","Very Old",4,"Med"
95,"2","yes","3","none",200,"excellent / refurbished","3","central",1240000,"no","no","yes","no","yes","no","yes","yes","no","no","yes","no","yes","yes","yes","no",0,1,"shared","double","other","other","carrobbio","Very Old",5,"Low"
82,"1","yes","2","garage/box",0,"new / under construction","1","independent",253778,"no","no","yes","no","yes","no","no","no","no","no","no","no","yes","yes","no","no",0,0,"no garden","other","other","other","bruzzano","Recent/New",8,"High"
66,"2","no","3","none",30,"new / under construction","mezzanine","central",370000,"no","no","yes","no","yes","no","no","yes","no","no","yes","no","no","no","no","no",0,0.5,"no garden","single","other","other","bovisa","Recent/New",2,"High"
66,"1","yes","2","none",117,"excellent / refurbished","2","central",274000,"no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no",0,0,"shared","other","other","other","affori","Recent/New",4,"High"
160,"3","no","5+","shared",100,"excellent / refurbished","1","independent",450000,"no","no","no","no","yes","yes","no","yes","no","no","no","no","yes","no","no","no",0,1,"no garden","single","other","other","corvetto","Old",1,"Low"
100,"1","yes","3","none",0,"new / under construction","3","central",650000,"no","no","no","no","yes","no","no","no","no","no","no","no","yes","yes","no","no",0,0,"no garden","other","other","other","cenisio","Modern",8,"Low"
115,"1","no","3","none",60,"good condition / liveable","3","independent",560000,"no","no","no","no","yes","no","yes","no","no","no","no","no","yes","no","no","no",0,0,"no garden","double","other","other","paolo sarpi","Very Old",4,"Med"
170,"2","yes","4","none",540,"excellent / refurbished","4","central",1050000,"no","no","no","no","yes","no","yes","no","no","no","no","no","yes","yes","yes","no",1,0.5,"no garden","double","other","other","porta romana - medaglie d'oro","Old",8,"Med"
200,"2","yes","5+","garage/box",320,"good condition / liveable","6","central",970000,"no","no","yes","no","yes","no","yes","yes","no","no","yes","no","yes","yes","yes","no",1,0,"shared","double","other","wood","maggiolina","Old",9,"Low"
130,"3","yes","4","none",340,"good condition / liveable","7","central",990000,"no","no","no","no","yes","no","yes","no","no","no","no","no","yes","yes","no","no",0.5,0,"no garden","double","other","other","porta romana - medaglie d'oro","Very Old",7,"Low"
50,"1","yes","2","none",70,"to be refurbished","1","independent",398000,"no","no","yes","no","yes","no","no","no","no","no","no","no","yes","yes","no","no",0,1,"shared","single","other","wood","arco della pace","Very Old",5,"Low"
30,"1","yes","1","none",0,"excellent / refurbished","mezzanine","central",185000,"no","no","yes","no","yes","no","yes","no","no","no","no","no","no","no","no","no",1,0,"no garden","single","other","other","san siro","Modern",7,"Low"
115,"2","yes","4","shared",250,"excellent / refurbished","2","independent",280000,"no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no",0,0.5,"no garden","other","other","other","roserio","Old",4,"Low"
150,"2","yes","4","shared",350,"excellent / refurbished","ground floor","independent",750000,"no","no","yes","no","yes","no","yes","no","no","no","yes","no","no","yes","no","no",1,0,"no garden","double","other","other","città studi","Very Old",8,"Low"
115,"2","yes","3","none",270,"excellent / refurbished","5","central",950000,"no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes",0,0,"shared","other","other","other","paolo sarpi","Modern",6,"Med"
152,"2","yes","4","none",300,"good condition / liveable","1","central",1216000,"no","no","no","no","yes","no","yes","yes","no","no","yes","no","yes","yes","no","no",0.5,0,"no garden","double","other","other","indipendenza","Very Old",6,"Low"
167,"2","yes","4","none",100,"new / under construction","1","independent",1035000,"no","no","yes","yes","yes","no","yes","yes","no","no","yes","no","no","yes","no","no",1,0,"shared","double","other","other","bande nere","Recent/New",7,"High"
132,"2","yes","4","garage/box",150,"new / under construction","7","central",324547,"no","no","yes","yes","yes","no","yes","yes","no","no","no","no","yes","yes","no","no",0,0,"shared","double","other","other","comasina","Recent/New",7,"High"
90,"1","yes","3","none",290,"excellent / refurbished","7","central",470000,"no","no","yes","no","no","no","yes","yes","no","no","no","no","no","yes","yes","no",0.5,0.5,"shared","single","other","other","buenos aires","Very Old",7,"Low"
230,"3","yes","5","none",400,"excellent / refurbished","6","independent",1980000,"no","no","no","yes","yes","no","no","no","no","no","no","no","yes","no","no","no",1,0.5,"no garden","other","other","other","buenos aires","Very Old",6,"Med"
186,"3","yes","4","none",500,"good condition / liveable","5","central",1395000,"no","no","no","no","yes","no","yes","no","no","no","no","yes","yes","yes","yes","no",1,0.5,"shared","double","other","wood","repubblica","Old",7,"Low"
73,"1","yes","3","garage/box",200,"new / under construction","1","central",3e+05,"no","no","yes","no","yes","no","yes","yes","no","no","yes","no","yes","yes","no","no",0,0,"no garden","double","other","other","cascina merlata - musocco","Recent/New",8,"High"
101,"2","yes","3","none",400,"new / under construction","1","central",460000,"no","no","yes","yes","yes","no","yes","yes","no","no","no","no","no","no","no","no",1,0,"shared","other","other","other","cimiano","Recent/New",5,"High"
